title,title_id,year,thumbnail,topic,file,author,level,alttext
"Doble conteo e inducción","Doble conteo e induccion",2020,Logo-ommgto.png,Combinatoria,Doble-conteo-e-inducción.pdf,"Alfredo Arturo Elías Miranda",Intermedio - Avanzado,"¿Aprendiste a contar? ¡Hora de hacerlo dos veces!"
"Doble conteo","Doble conteo",2022,Logo.png,Combinatoria,Doble-conteo.pdf,"Eduardo Jaziel Juárez Martínez",Intermedio,"¿Aprendiste a contar? ¡Hora de hacerlo dos veces!"
"Ecuaciones cuadráticas","Ecuaciones cuadraticas",2020,Logo-ommags.png,Álgebra,Ecuaciones-cuadráticas.pdf,"Lilia Susana Castañeda Castañeda",Intermedio,"Prepárate para conocer a la chicharronera."
"Ecuaciones funcionales","Ecuaciones funcionales",2018,Logo-ommgto.png,Álgebra,Ecuaciones-funcionales.pdf,"Desconocido",Intermedio - Avanzado,"Igualmente, funciona."
"Ecuaciones lineales","Ecuaciones lineales",2020,Logo-ommags.png,Álgebra,Ecuaciones-lineales.pdf,"Elías Loyola Campos",Básico - Intermedio,"Encuentra x (ya sé que aquí está)."
"Ejes radicales","Ejes radicales",2022,Logo.png,Geometría,Ejes-radicales.pdf,"Alfredo Hernández Estrada",Intermedio - Avanzado,"Ve primero por potencia de punto..."
"Factorización en primos","Factorizacion en primos",2013,Logo-omt.png,Teoría de Números,Factorización-en-primos.pdf,"Desconocido",Básico,"Esto parece reunión familiar."
"Factorización","Factorizacion",2019,Logo-ommags.png,Álgebra,Factorización.pdf,"Desconocido",Básico - Intermedio,"Déjame escrito la multiplicación que debo hacer y quizá la haga más tarde."
"Factorizaciones importantes","Factorizaciones importantes",2022,Logo.png,Álgebra,Factorizaciones-importantes.pdf,"Ángel Manuel González López",Intermedio,"Hay factores muy importantes a considerar."
"Fórmula de Gauss y sumas","Formula de Gauss y sumas",2017,Logo-ommags.png,Álgebra,Fórmula-de-Gauss-y-sumas.pdf,"E. Efrén González González",Básico,"¿Conoces la tragedia del maestro de Gauss?"
"Formulario de álgebra","Formulario de algebra",2006,Logo-ommags.png,Álgebra,Formulario-de-álgebra.pdf,"Elías Loyola Campos",Intermedio,"Órale, para saber."
"Funciones aritméticas y teorema de Euler","Funciones aritmeticas y teorema de Euler",2022,Logo-ommgto.png,Teoría de Números,Funciones-aritméticas-y-teorema-de-Euler.pdf,"Jesús Liceaga",Intermedio - Avanzado,"No, Patricio, la suma no es una función aritmética."
"Funciones generatrices","Funciones generatrices",2018,Logo-ommgto.png,Combinatoria,Funciones-generatrices.pdf,"Isaias Fernando de la Fuente Jiménez",Muy avanzado,"Generando respuestas y muchas dudas."
"Funciones","Funciones",2020,Logo-ommgto.png,Álgebra,Funciones.pdf,"Rubén Pérez Palacios",Intermedio,"¿Esto funciona?"
"Homotecia y rotomotecia","Homotecia y rotomotecia",2020,Logo-ommgto.png,Geometría,Homotecia-y-rotomotecia.pdf,"Israel Bonal Rodríguez y Jesús Antonio Martinez Miranda",Intermedio,"Allá en la fuente, había un chorrito."
"Inducción matemática (Diapositivas)","Induccion matematica (Diapositivas)",2023,Logo-ommgto.png,Métodos de ataque de problemas,Inducción-matemática-(Diapositivas).pdf,"Jesús Rodríguez Viorato",Intermedio - Avanzado,"Abducción, deducción, ¡inducción!"
"Inducción","Induccion",2022,Logo.png,Métodos de ataque de problemas,Inducción.pdf,"Emilio Toscano Oneto",Intermedio - Avanzado,"Tiremos un número infinito de dominós."
